antecedents,consequents,support,confidence,lift
frozenset({'Suco De Laranja'}),frozenset({'Refrigerante'}),0.004940711462450593,0.13261648745519714,3.424615004325794
frozenset({'Refrigerante'}),frozenset({'Suco De Laranja'}),0.004940711462450593,0.12758620689655173,3.424615004325794
frozenset({'Cerveja'}),frozenset({'Refrigerante'}),0.00454011323576541,0.12937595129375953,3.3409331863748495
frozenset({'Refrigerante'}),frozenset({'Cerveja'}),0.00454011323576541,0.11724137931034483,3.340933186374849
frozenset({'Suco De Laranja'}),frozenset({'Cerveja'}),0.004273047751308621,0.1146953405017921,3.2683807684544166
frozenset({'Cerveja'}),frozenset({'Suco De Laranja'}),0.004273047751308621,0.121765601217656,3.2683807684544166
frozenset({'Arroz'}),frozenset({'Molho De Tomate'}),0.004139515009080227,0.1599587203302374,3.2658093369931342
frozenset({'Papel Higienico'}),frozenset({'Desinfetante'}),0.0038724495246234376,0.17261904761904762,2.4557551744101898
frozenset({'Papel Toalha'}),frozenset({'Desinfetante'}),0.012605490866360432,0.1703971119133574,2.4241449310348613
frozenset({'Desinfetante'}),frozenset({'Papel Toalha'}),0.012605490866360432,0.17933130699088146,2.424144931034861
frozenset({'Café'}),frozenset({'Açúcar'}),0.016264288003418437,0.187673343605547,2.1333456824426538
frozenset({'Açúcar'}),frozenset({'Café'}),0.016264288003418437,0.18488160291438976,2.1333456824426533
frozenset({'Leite Integral'}),frozenset({'Café'}),0.0037122102339493643,0.1848404255319149,2.132870537324198
frozenset({'Amaciante'}),frozenset({'Sabonete'}),0.003925862621514796,0.19496021220159154,2.0306231392702068
frozenset({'Papel Higienico'}),frozenset({'Papel Toalha'}),0.003284905458818502,0.1464285714285714,1.979375966993295
frozenset({'Pasta De Dente'}),frozenset({'Sabonete'}),0.019202008332443114,0.1900105708245243,1.9790697674418603
frozenset({'Sabonete'}),frozenset({'Pasta De Dente'}),0.019202008332443114,0.19999999999999998,1.9790697674418603
frozenset({'Pao De Forma'}),frozenset({'Queijo Mussarela'}),0.005181070398461703,0.18476190476190477,1.8657564082806801
frozenset({'Manteiga'}),frozenset({'Queijo Mussarela'}),0.016798418972332016,0.17738296672306825,1.7912426661215122
frozenset({'Queijo Mussarela'}),frozenset({'Manteiga'}),0.016798418972332016,0.16963322545846818,1.7912426661215122
frozenset({'Feijão'}),frozenset({'Açúcar'}),0.0034718512979382546,0.13333333333333333,1.5156446063549887
frozenset({'Leite Integral'}),frozenset({'Açúcar'}),0.0021632304240999894,0.10771276595744682,1.2244070456923615
frozenset({'Óleo De Soja'}),frozenset({'Manteiga'}),0.00454011323576541,0.11556764106050307,1.2203369294612174
frozenset({'Amaciante'}),frozenset({'Pasta De Dente'}),0.002457002457002457,0.1220159151193634,1.2073900437974214
frozenset({'Condicionador'}),frozenset({'Pasta De Dente'}),0.005528255528255528,0.1189655172413793,1.1772052927024859
frozenset({'Pao De Forma'}),frozenset({'Manteiga'}),0.003124666168144429,0.11142857142857142,1.1766304085085808
frozenset({'Presunto'}),frozenset({'Queijo Mussarela'}),0.004513406687319731,0.11551606288448395,1.1665003933782678
